epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.025,1.75816,2.32129,1.51027,0.52525,0.4129,0.41397,0.18578,1.91684,2.07552,1.69173,0.000551912,0.000551912,0.000551912
2,228.701,1.69376,1.72639,1.43702,0.56972,0.47423,0.47071,0.21675,1.94492,1.89588,1.69371,0.00109661,0.00109661,0.00109661
3,317.339,1.68074,1.61496,1.42639,0.5316,0.44767,0.4458,0.21364,1.89727,1.82261,1.67588,0.00163031,0.00163031,0.00163031
4,435.863,1.67548,1.53858,1.41803,0.62101,0.50486,0.53521,0.26082,1.79534,1.86399,1.60287,0.00161749,0.00161749,0.00161749
5,525.457,1.6535,1.50688,1.41055,0.60774,0.50058,0.53555,0.24996,1.86154,1.73928,1.62108,0.00160099,0.00160099,0.00160099
6,638.206,1.61756,1.42245,1.37633,0.64388,0.49531,0.54749,0.27191,1.81289,1.76897,1.58921,0.00158448,0.00158448,0.00158448
7,740.384,1.60676,1.4015,1.35827,0.66174,0.53749,0.59401,0.30075,1.76254,1.56486,1.50854,0.00156798,0.00156798,0.00156798
8,840.122,1.58637,1.38345,1.34806,0.68287,0.53807,0.6105,0.3161,1.69499,1.52051,1.48482,0.00155148,0.00155148,0.00155148
9,954.265,1.55838,1.34824,1.34264,0.67497,0.55454,0.61747,0.3234,1.67007,1.49605,1.46864,0.00153497,0.00153497,0.00153497
10,1043.03,1.54381,1.31896,1.33586,0.67823,0.55181,0.61387,0.30579,1.7273,1.48476,1.4961,0.00151847,0.00151847,0.00151847
11,1159.95,1.52609,1.29333,1.32405,0.71048,0.55822,0.63323,0.32834,1.70491,1.49118,1.47607,0.00150197,0.00150197,0.00150197
12,1249.72,1.51339,1.263,1.30704,0.70413,0.54486,0.6254,0.32422,1.67116,1.49846,1.46004,0.00148546,0.00148546,0.00148546
13,1362.45,1.49658,1.2646,1.30658,0.69279,0.56297,0.6257,0.32611,1.67512,1.45586,1.4498,0.00146896,0.00146896,0.00146896
14,1465.62,1.51643,1.25264,1.30222,0.68425,0.58306,0.63409,0.31934,1.7038,1.43538,1.45029,0.00145246,0.00145246,0.00145246
15,1564.99,1.49661,1.24189,1.30119,0.70931,0.57822,0.65505,0.34706,1.64,1.36151,1.42278,0.00143595,0.00143595,0.00143595
16,1681.63,1.49405,1.23032,1.29495,0.7113,0.57528,0.6418,0.3366,1.67472,1.41617,1.43008,0.00141945,0.00141945,0.00141945
17,1767.75,1.46652,1.208,1.28951,0.69729,0.57877,0.64477,0.34238,1.63795,1.41673,1.44128,0.00140295,0.00140295,0.00140295
18,1884.69,1.46841,1.21077,1.28401,0.71593,0.59886,0.65383,0.34797,1.64794,1.36012,1.43041,0.00138644,0.00138644,0.00138644
19,1972.15,1.46532,1.18756,1.27956,0.70001,0.58121,0.65915,0.34962,1.634,1.38644,1.41942,0.00136994,0.00136994,0.00136994
20,2087.44,1.47004,1.20977,1.29259,0.70121,0.58627,0.65022,0.34916,1.65237,1.38413,1.42333,0.00135344,0.00135344,0.00135344
21,2169.31,1.45303,1.18224,1.27307,0.74008,0.59059,0.67453,0.36991,1.58659,1.34224,1.37811,0.00133693,0.00133693,0.00133693
22,2286.4,1.43739,1.15434,1.26116,0.7199,0.59653,0.66067,0.34965,1.62773,1.35295,1.41688,0.00132043,0.00132043,0.00132043
23,2382.01,1.44219,1.14819,1.2642,0.73892,0.58335,0.66617,0.35463,1.62571,1.32946,1.40283,0.00130393,0.00130393,0.00130393
24,2485.99,1.44517,1.16962,1.26243,0.69886,0.60506,0.65722,0.35786,1.62035,1.35787,1.41357,0.00128742,0.00128742,0.00128742
25,2599.47,1.44187,1.14712,1.26159,0.74021,0.59457,0.67849,0.37139,1.59688,1.31878,1.40229,0.00127092,0.00127092,0.00127092
26,2686.97,1.40944,1.13821,1.2526,0.71707,0.62497,0.68698,0.37094,1.60196,1.29991,1.3945,0.00125442,0.00125442,0.00125442
27,2805.39,1.41905,1.12591,1.25077,0.70319,0.60355,0.66813,0.36499,1.60308,1.31056,1.39372,0.00123791,0.00123791,0.00123791
28,2874.95,1.4053,1.1172,1.24719,0.74148,0.60078,0.67954,0.36807,1.59981,1.29137,1.40406,0.00122141,0.00122141,0.00122141
29,2934.93,1.40369,1.12604,1.25497,0.749,0.61223,0.69775,0.38756,1.57043,1.25376,1.36953,0.00120491,0.00120491,0.00120491
30,2995.19,1.41779,1.13924,1.25406,0.72947,0.62423,0.69369,0.38491,1.58587,1.24006,1.37766,0.0011884,0.0011884,0.0011884
31,3055.86,1.39958,1.10828,1.24575,0.71752,0.60324,0.67623,0.37934,1.57417,1.28226,1.3739,0.0011719,0.0011719,0.0011719
32,3116.21,1.39442,1.09505,1.23974,0.73918,0.61094,0.68941,0.38388,1.58869,1.27554,1.39606,0.0011554,0.0011554,0.0011554
33,3177.5,1.373,1.08053,1.2236,0.73119,0.61015,0.69312,0.38641,1.58421,1.27657,1.38651,0.00113889,0.00113889,0.00113889
34,3238.34,1.39728,1.09796,1.24583,0.71137,0.61035,0.68165,0.37228,1.5893,1.30031,1.38969,0.00112239,0.00112239,0.00112239
35,3299.08,1.40206,1.08769,1.23813,0.73201,0.6293,0.69912,0.3873,1.58614,1.23242,1.38253,0.00110589,0.00110589,0.00110589
36,3359.15,1.37003,1.05717,1.21802,0.73798,0.60709,0.68737,0.38847,1.5518,1.25517,1.36384,0.00108938,0.00108938,0.00108938
37,3420.16,1.37528,1.08905,1.22538,0.73044,0.6237,0.69781,0.38554,1.58334,1.22904,1.37421,0.00107288,0.00107288,0.00107288
38,3480.73,1.36286,1.07189,1.22127,0.71911,0.6311,0.69689,0.38532,1.56923,1.2527,1.37886,0.00105638,0.00105638,0.00105638
39,3541.83,1.36549,1.06403,1.22685,0.72939,0.63084,0.69863,0.39353,1.56511,1.23659,1.3719,0.00103987,0.00103987,0.00103987
40,3602.05,1.34628,1.05449,1.22097,0.74844,0.62082,0.70577,0.39091,1.56583,1.23148,1.36633,0.00102337,0.00102337,0.00102337
41,3662.53,1.35146,1.03726,1.20817,0.73833,0.61919,0.69475,0.38653,1.56251,1.23143,1.36504,0.00100687,0.00100687,0.00100687
42,3722.74,1.3398,1.02485,1.20042,0.74719,0.62732,0.70502,0.39339,1.55381,1.22037,1.35459,0.000990365,0.000990365,0.000990365
43,3783.03,1.34882,1.0319,1.20237,0.75088,0.63462,0.71024,0.40358,1.54109,1.21725,1.35759,0.000973861,0.000973861,0.000973861
44,3842.99,1.36756,1.05175,1.21801,0.7632,0.62658,0.70926,0.39903,1.55283,1.21829,1.36645,0.000957358,0.000957358,0.000957358
45,3903.04,1.33877,1.01679,1.20517,0.7562,0.63705,0.71538,0.40073,1.56161,1.20515,1.3615,0.000940855,0.000940855,0.000940855
46,3963.48,1.34348,1.03387,1.21244,0.74436,0.63296,0.70476,0.39834,1.54597,1.21863,1.36485,0.000924352,0.000924352,0.000924352
47,4023.49,1.32899,1.01752,1.20056,0.74712,0.64167,0.71439,0.40516,1.55384,1.2046,1.36605,0.000907848,0.000907848,0.000907848
48,4083.63,1.3342,1.01213,1.20016,0.74166,0.63657,0.71094,0.40011,1.53581,1.21961,1.34414,0.000891345,0.000891345,0.000891345
49,4144.3,1.32388,0.99528,1.19685,0.74738,0.63741,0.71577,0.39972,1.54836,1.20452,1.36504,0.000874842,0.000874842,0.000874842
50,4204.23,1.3408,1.01338,1.19922,0.74348,0.64638,0.71337,0.40566,1.53857,1.19782,1.34883,0.000858338,0.000858338,0.000858338
51,4264.53,1.33459,1.00074,1.20032,0.77236,0.62581,0.71385,0.40617,1.54405,1.19,1.3589,0.000841835,0.000841835,0.000841835
52,4325.03,1.32312,0.98674,1.19759,0.74692,0.63452,0.71062,0.40137,1.54141,1.18581,1.35446,0.000825332,0.000825332,0.000825332
53,4385.36,1.30595,0.99377,1.19174,0.74482,0.64717,0.7216,0.40751,1.53698,1.17847,1.34761,0.000808828,0.000808828,0.000808828
