epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.0134,1.73031,1.97613,1.51168,0.47958,0.43851,0.37067,0.15659,2.06741,3.28829,1.84267,0.000551912,0.000551912,0.000551912
2,137.447,1.72956,1.60749,1.47297,0.52499,0.46504,0.45095,0.19914,1.97397,1.94028,1.73364,0.00109661,0.00109661,0.00109661
3,201.695,1.71379,1.55827,1.46147,0.57553,0.48296,0.4903,0.2053,1.98712,2.09842,1.77684,0.00163031,0.00163031,0.00163031
4,265.232,1.69058,1.5214,1.44175,0.60078,0.49708,0.51813,0.25066,1.89512,1.87347,1.6416,0.00161749,0.00161749,0.00161749
5,330.78,1.65592,1.47301,1.41952,0.60481,0.48842,0.51305,0.23947,1.89794,1.73848,1.60005,0.00160099,0.00160099,0.00160099
6,396.664,1.63115,1.39591,1.38607,0.65117,0.53304,0.58164,0.28537,1.79107,1.61071,1.55283,0.00158448,0.00158448,0.00158448
7,461.989,1.61892,1.37929,1.37299,0.64598,0.53821,0.5879,0.28737,1.80063,1.567,1.54255,0.00156798,0.00156798,0.00156798
8,527.884,1.57653,1.34181,1.35316,0.66292,0.54132,0.59882,0.31126,1.71282,1.49954,1.51171,0.00155148,0.00155148,0.00155148
9,594.482,1.55444,1.3132,1.34394,0.68254,0.54489,0.61036,0.30536,1.77781,1.53893,1.53315,0.00153497,0.00153497,0.00153497
10,660.83,1.54474,1.27563,1.33664,0.69621,0.53585,0.61221,0.3112,1.72643,1.47877,1.4939,0.00151847,0.00151847,0.00151847
11,726.854,1.51014,1.25839,1.31819,0.68604,0.57812,0.63953,0.3384,1.68086,1.44077,1.46588,0.00150197,0.00150197,0.00150197
12,793.559,1.48423,1.22809,1.30012,0.67011,0.5765,0.63202,0.32798,1.69883,1.5141,1.49574,0.00148546,0.00148546,0.00148546
13,860.161,1.47677,1.2351,1.30862,0.67846,0.59374,0.6507,0.35108,1.63963,1.39134,1.42959,0.00146896,0.00146896,0.00146896
14,926.427,1.47849,1.21088,1.29073,0.7269,0.59953,0.66797,0.34992,1.68176,1.37093,1.46439,0.00145246,0.00145246,0.00145246
15,993.646,1.47757,1.20767,1.29808,0.70276,0.57921,0.65276,0.34391,1.6498,1.36056,1.43382,0.00143595,0.00143595,0.00143595
16,1060,1.46526,1.19211,1.28662,0.72788,0.58136,0.66556,0.3539,1.65655,1.33674,1.44539,0.00141945,0.00141945,0.00141945
